n,k,p_n,growth_avg,entry,factors,runtime_s
1,0,2,0.5,4,"{2:2}",0
2,-1,2,0.37499999999999994,16,"{2:4}",0
3,0,7,0.40596416233653354,28,"{2: 2, 7: 1}",0.00017881393432617188
4,-1,37,0.4672685394283048,148,"{2: 2, 37: 1}",0.00017786026000976562
5,0,67,0.4951366153517993,268,"{2: 2, 67: 1}",0.00016999244689941406
6,-3,71,0.4980270005640645,3124,"{2: 2, 11: 1, 71: 1}",0.00015115737915039062
7,0,347,0.5129904071424457,2776,"{2: 3, 347: 1}",0.000247955322265625
8,-5,14197,0.5566267506430095,56788,"{2: 2, 14197: 1}",0.0002570152282714844
9,-4,41479,0.5894712690455376,165916,"{2: 2, 41479: 1}",0.0003719329833984375
10,-5,45853,0.6079477846755028,733648,"{2: 4, 45853: 1}",0.0005199909210205078
11,-6,792697,0.6336567050392711,3170788,"{2: 2, 792697: 1}",0.0003688335418701172
12,-9,174659,0.6413178874654705,16068628,"{2: 2, 23: 1, 174659: 1}",0.0003070831298828125
13,-8,14120011,0.6622556768223655,56480044,"{2: 2, 14120011: 1}",0.0008189678192138672
14,-7,22394171,0.6772389956332637,179153368,"{2: 3, 22394171: 1}",0.001194000244140625
15,-8,13783631,0.6847929573670039,771883336,"{2: 3, 7: 1, 13783631: 1}",0.0010170936584472656
16,-11,3067231,0.684080322126485,3950593528,"{2: 3, 7: 1, 23: 1, 3067231: 1}",0.0008571147918701172
17,-8,365080129,0.6930507493808927,10222243612,"{2: 2, 7: 1, 365080129: 1}",0.004720211029052734
18,-15,17050729021,0.7070002669666973,68202916084,"{2: 2, 17050729021: 1}",0.0037488937377929688
19,-10,5964084611,0.7147670861276081,190850707552,"{2: 5, 5964084611: 1}",0.0029900074005126953
20,-9,36735763033,0.7228993145584892,587772208528,"{2: 4, 36735763033: 1}",0.004828929901123047
21,0,1088863403,0.7225120182127452,60976350568,"{2: 3, 7: 1, 1088863403: 1}",0.007195949554443359
22,-3,123468206909,0.7277339395327193,987745655272,"{2: 3, 123468206909: 1}",0.0072820186614990234
